gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe,Significance,neg_log10_padj
ABHD14A-ACY1,0.15615620888784032,0.266569703380069,-3.8423332903815224e-17,0.9999999999999998,0.3963916820181208,0.9999999999999998,Not Significant,0.4018754674348267
ABHD14B,-0.027945596374286782,0.7670081574506131,0.1652233367486711,0.11648222644982617,0.8525646641656006,0.38022414227044593,Not Significant,0.06927267130876825
ABHD15,0.8705480062095576,1.2079137469453722e-05,0.32955042064167406,0.002532418006943832,0.00041449798183172345,0.2207304299935557,Upregulated,3.3824775796649256
ABHD16B,-0.4884434539824847,0.001942193415751167,0.1935533046848733,0.08323697071623735,0.010790618947171583,0.34521637061224064,Not Significant,1.96695364358106
ABHD17A,0.2551027714105391,0.14738484929128612,0.3063354835975225,0.09282291890696533,0.2728133684381766,0.35450640776955433,Not Significant,0.5641343521362325
ABHD17B,-0.03853208641720606,0.578656220637749,-0.1177388449809006,0.12307257572093991,0.6968301010172813,0.3864271037389659,Not Significant,0.15687309734690644
ABHD17C,0.16025276763292953,0.05008642726949804,-0.017033033216396695,0.8035973221826621,0.12129393394109833,0.9218386241044211,Not Significant,0.9161609181918193
ABHD2,0.7619174305814747,3.883639390237915e-06,0.04696356193629774,0.36404574520725436,0.0002289973340072191,0.5935987055220363,Upregulated,3.6401695736980737
ABHD3,0.3899568241876324,0.012385140214858517,-0.10813996967901457,0.3655743944478007,0.04205796779238067,0.5948715012856117,Not Significant,1.3761517159073657
ABHD4,0.7491941038753095,4.473979885845832e-05,0.2764259660523513,0.008360673519835046,0.0008875172680273348,0.2756714638617306,Upregulated,3.0518231883167806
ABHD5,0.11689541332722977,0.36418386687242094,-0.03370789955563373,0.7866379985768391,0.4990950790571392,0.9109075689465108,Not Significant,0.3018167121392192
ABHD6,0.1642484814153378,0.11035428531937655,0.2982041015270581,0.01451457870399615,0.21960394717564974,0.3061408905100695,Not Significant,0.6583598581144876
ABHD8,-0.04851903486916537,0.7716704744822767,0.2439601512788785,0.177702973327505,0.8563191953816794,0.44426757168928754,Not Significant,0.06736432065776334
ABI1,0.2733034013679767,0.04023914054717187,-0.1375624107361924,0.23729245693627282,0.10277529403823119,0.5026401889255694,Not Significant,0.9881112720372881
ABI2,-0.014617764362852876,0.6673223162672829,-0.04305643713281975,0.23165053661659038,0.7701978396244465,0.5026401889255694,Not Significant,0.11339770389103057
ABI3,-0.0014447927577225994,0.9450003032081888,0.015054057597537003,0.4819481883107586,0.9863599042601697,0.6856056906124115,Not Significant,0.005964590216541807
ABI3BP,-0.014186402265886688,0.3789629710531736,-0.009226713481294892,0.5595121787278863,0.5143216389774717,0.7480065601149799,Not Significant,0.2887652032876724
ABL1,-0.09565533559231867,0.3920941553896599,0.13737776939149293,0.2336584255591946,0.5269989786946561,0.5026401889255694,Not Significant,0.27819022643395247
ABL2,-0.21095007616688474,0.002352193018213488,-0.12019597117915785,0.028321377939149937,0.012330642104650243,0.32080424868068846,Not Significant,1.9090143074070625
ABLIM1,-0.16116679239901113,0.01207571650774607,-0.04048131160997686,0.40693236901891305,0.041201970924405286,0.6280837999456473,Not Significant,1.385082008696953
ABLIM2,0.4070587373559576,0.0045960797700092424,0.05218997810868776,0.5935662874099089,0.020110597845327524,0.7736284042419465,Not Significant,1.696575018559526
ABLIM3,-0.6491586479087809,0.00019528665095268645,-0.1872785851755397,0.059037681892308284,0.0021993798312343812,0.3280817323411761,Downregulated,2.657699761833292
ABR,0.38387076653631447,0.00869537113565515,0.1385139577495201,0.21659853506712745,0.032154940976775716,0.48639894785555904,Not Significant,1.4927522832662277
ABRA,-0.011815048407159544,0.266569703380069,-0.011815048407159549,0.266569703380069,0.3963916820181208,0.5026401889255694,Not Significant,0.4018754674348267
ABRACL,-0.21361438255045953,0.1340397344269059,0.06928291776681768,0.5946939677779963,0.2540241159121447,0.7743807967150472,Not Significant,0.5951250514493314
ABT1,-0.26787160532931786,0.007901270850738789,0.10900029401940375,0.16279640415888846,0.02994663476423165,0.4304411234543527,Not Significant,1.5236519741240593
ABTB1,0.849620256182497,0.0010454085025095442,0.09694373107165774,0.5253114354227271,0.006922708729507445,0.7215996923181092,Upregulated,2.1597239407890814
ABTB2,0.014843593326474157,0.9043726900574676,0.2963977258026591,0.046392342628194895,0.9598477585229415,0.3248847789841273,Not Significant,0.0177976449568752
ACAA1,0.4076201072600044,0.009352062659286547,0.2746465066923952,0.044304129511689896,0.03399905109090657,0.3248847789841273,Not Significant,1.4685332038910968
ACAA2,-0.47143782238061954,7.318134241018359e-06,0.053894784189845196,0.15322609059747902,0.0003073456090959363,0.42074544390868657,Not Significant,3.51237298706249
ACACA,-0.6034902677895194,1.2418003790957794e-05,0.05933834212921242,0.24642367247502256,0.0004198249340787764,0.5026401889255694,Downregulated,3.3769317715391125
ACACB,0.06859630220714903,0.4099335371308367,0.20334847286159616,0.03931121968336966,0.5440990126359219,0.3248847789841273,Not Significant,0.264322062197679
ACAD10,0.45320678449099483,0.00010682387685878417,0.1351793232575195,0.03665843170605478,0.001501774563987058,0.3248847789841273,Not Significant,2.8233952557236828
ACAD11,0.6391810598542271,0.0002819831031173766,-0.14470699323966862,0.13864528075299795,0.002802973345661314,0.4025330398834242,Upregulated,2.552381032060352
ACAD8,0.41831257344137285,0.003134590698501466,0.15594031455973226,0.1265092336864477,0.015223490142217687,0.3889364090193016,Not Significant,1.8174857696585924
ACAD9,-0.45940241561575484,0.0020211984514737157,0.11278150019051769,0.24919515603161332,0.011121851927545248,0.5026401889255694,Not Significant,1.953822891265781
ACADL,0.004470133634289608,0.9220054851453482,0.010638462315109114,0.8161121427460618,0.9721266111320931,0.9308238395376321,Not Significant,0.01227716826806736
ACADM,0.13435883035847063,0.5123028774064735,-0.3730543773564071,0.10138051415395023,0.6379805016521005,0.3626539416928906,Not Significant,0.19519259424796012
ACADS,-0.27709503365065796,0.15197243515861686,0.3153538538948226,0.11110668558884754,0.27953660036938144,0.37403916256353603,Not Significant,0.5535613208802199
ACADSB,0.8047970900159064,0.0026534507978908657,-0.1414085995745957,0.4204255656213108,0.013481004192617758,0.6367657829756356,Upregulated,1.8702777562376973
ACADVL,-0.1377413872241545,0.21687412095377673,0.3008714359920989,0.023583510756370166,0.36541940785302407,0.3156497997651488,Not Significant,0.4372083904820024
ACAN,1.3220220924491962e-18,0.9999999999999996,0.006505096092626659,0.0508249772355915,0.9999999999999998,0.3248847789841273,Not Significant,9.643274665532873e-17
ACAP1,-0.07353129647641189,0.2201796425108171,-0.04340754646625688,0.45000012210890306,0.3696948188307027,0.6587036601338006,Not Significant,0.4321566358997176
ACAP2,0.554893403475772,0.03900951809320929,-0.514769824733075,0.050422499844566614,0.10042400166322557,0.3248847789841273,Not Significant,0.9981624769904391
ACAP3,-0.04708724789280993,0.7388057583902498,0.21759287030975835,0.15763796419668544,0.8305831532950807,0.4255643343405722,Not Significant,0.08061688192489302
