Name,B_cells,CD8_T_cells,Macrophages,NK_cells,T_cells,Risk_Group
TCGA-BC-A216,0.31563995438907544,0.3500054437711873,0.38436258073188767,0.39123823442814676,0.338841416169076,High_Immune
TCGA-BC-A217,0.27238123154925264,0.3229001201939377,0.24973604572621513,0.30505100988479944,0.3576241770983401,High_Immune
TCGA-BC-A3KF,0.14767346540555684,0.2867473080493199,0.2582016153582029,0.26357595095237035,0.3114253769224214,Low_Immune
TCGA-BC-A3KG,0.0696580681781557,0.29439246579019235,-0.016972877468622916,0.2151441527841929,0.3031325547891618,Low_Immune
TCGA-BC-A5W4,-0.06691358286370204,0.1970901554815514,-0.029318856288790683,0.1680746600520646,0.3458773785425523,Low_Immune
TCGA-BC-A69H,0.27122393579085724,0.31619088744164375,0.2831235971156326,0.14829901593339512,0.3803164669426149,Low_Immune
TCGA-BC-A69I,0.1929959537127944,0.34463774621286086,0.32243437867813785,0.2688226465093841,0.33582267061691123,High_Immune
TCGA-BC-A8YO,0.2851809675744242,0.4336800560370145,0.2691814775752309,0.34940502886149544,0.39300326246257167,High_Immune
TCGA-BD-A2L6,-0.03150232100226797,0.33888675060369444,0.2527963776407189,0.2841432922144674,0.369002868550856,High_Immune
TCGA-BD-A2L6,0.3927597671372841,0.4537532189359555,0.3418856318434207,0.3829477950469674,0.4790369460404077,High_Immune
TCGA-BD-A3EP,0.5188118536688794,0.3519534990095868,0.06101934117456845,0.312296715305269,0.40500566382516706,High_Immune
TCGA-BD-A3EP,0.37740744334682563,0.3605372517931166,0.33123312275396255,0.3830592563857725,0.3805926437301807,High_Immune
TCGA-BD-A3ER,0.29970555939782945,0.2903117834102227,0.29479168118064203,0.2728555001247537,0.33941555719866173,Low_Immune
TCGA-BW-A5NO,0.3200245182465605,0.3027337304900646,0.27704710670082894,0.29452965445486895,0.36134112299047616,Low_Immune
TCGA-BW-A5NP,0.2882830201635754,0.31553521281183905,-0.02750815249527177,0.2045673855923551,0.3033026078772267,Low_Immune
