gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe
ALDH3A1,-1.3185971906931475,0.00047940031707458127,-0.13216415513814353,0.5184895270470782,0.004006972174527608,0.7164496572836884
ALDH4A1,0.864879840489516,0.0001268340190140494,0.18717744965560815,0.10850249133770831,0.0016677168999043592,0.3719199441306295
ALDH5A1,0.9086600772846936,2.971177800344237e-06,0.37728629111728557,0.0004497638872086536,0.0001990580291878978,0.1552109716423825
ALDOA,-0.7019371512816617,0.006167927791351429,0.159431331850144,0.3847534403607876,0.02499144867164768,0.6098041962044025
ALDOC,-0.5230002552285409,0.02417470751562723,-0.31449523976145954,0.12182284966800871,0.0698287113804204,0.385691521625044
ALG6,0.5288062996807592,0.006860896353025768,-0.2163203466951622,0.15012226485932118,0.02703852495083846,0.41583162566666426
ALKBH2,-0.6404702384646698,0.001486241217496783,0.2054276747205816,0.1270060004290951,0.008860284181230822,0.38948478932963376
ALOX12-AS1,0.5008386739810942,0.03427920819995172,-0.3686401977263681,0.0914207785195428,0.09104947981079248,0.3534318408629123
ALPK1,0.6455134236285816,0.0007708700044912957,0.20512709193169704,0.0937923677927757,0.005526935469284906,0.35509468162489494
ALPP,-1.3455247230531775,0.00015051978204248757,0.07596836957373337,0.6503793118805894,0.0018639179509526728,0.8163215491556396
ALS2,0.5311594300860689,0.0009566242183269916,-0.04653748199122247,0.6174179784414637,0.006470657157248771,0.791128963548716
ALX4,-1.287608338253077,5.6820555437045395e-06,0.22584320945950218,0.03964797891334274,0.0002756625885791937,0.3248847789841273
ALYREF,-0.8135617863226052,0.00043222209100094767,0.1597391132520704,0.21996005806262084,0.0037306946882526347,0.4904837817290499
AMER1,-0.6983563476693121,2.6645362468648486e-05,-0.02925721784549976,0.648457152944748,0.0006422547058771753,0.8150275788454812
AMFR,0.8934250950583836,0.00010090752113538413,0.2560683059753575,0.04071880099855195,0.001440748291620746,0.3248847789841273
AMIGO1,0.5728437264041746,0.0027227494942826435,0.016555399267216334,0.8921163756552379,0.01370742864036046,0.9834142062882293
AMN1,0.8954316796983781,0.0028098970473604927,-0.14893017035127254,0.44935420603270937,0.01401118238719286,0.6582487890213272
AMT,0.5464759064575689,0.0038087118043038143,0.06407040715671225,0.6113329885742684,0.01756020642821194,0.7867492514089058
AMTN,-2.8540398023805764,3.89383110312986e-06,-0.9232719267034246,0.002112682817306529,0.0002289973340072191,0.21022831424141006
AMZ1,0.5402734351279116,0.0013213798760993338,0.22121014093439745,0.060060785405236926,0.008125470860999684,0.32938883510098454
AMZ2P1,0.5749107008638511,0.0003684560776728961,0.08524526970319303,0.3279136318688125,0.0033695308303186345,0.5609371798429275
ANAPC1,-0.5799787819820282,9.085542970848407e-05,-0.15957715724215085,0.043978150680826375,0.001344454538323765,0.3248847789841273
ANAPC15,-1.2156297642444533,0.0003229564131858552,0.11947678497918961,0.4968505750415606,0.003076496248525673,0.696993175142671
ANAPC1P1,-0.5378028768386603,0.011535703923202438,-0.27132368344128466,0.12027329926546593,0.03983912854142232,0.38357430576553997
ANG,0.8793087353369811,0.000619833739374238,0.410475191803269,0.022666935647705676,0.004719716525043636,0.3156497997651488
ANGPTL2,-1.4693010872446572,2.4345547684909023e-05,-0.23708679531927743,0.10967945318479023,0.0006099726947355973,0.37256643302778714
ANGPTL4,1.4726389037411247,3.433081314800085e-05,0.7928099956941436,0.001054729005234327,0.0007537942046541843,0.18641433388817386
ANK2,0.8903980442039869,2.1101103234713377e-05,-0.0037346691859095364,0.9617450851845322,0.0005545103134524536,0.9999999999999998
ANKLE1,-1.0827417638150583,1.1021699379774324e-05,-0.0014525708507490322,0.9863108841459635,0.0003884140301658427,0.9999999999999998
ANKRA2,1.3312202735270466,4.7977319619734594e-05,0.08268061293264307,0.5446600548877211,0.000916554738579758,0.7364406301394558
ANKRD13B,-0.700742945444642,0.004034254232938859,0.09300771306236232,0.5708249383463715,0.018282088681975155,0.7571533920048688
ANKRD42,1.0350099461280369,1.0555128936331272e-06,0.06346905698095061,0.26886779764763374,0.00010838928580517734,0.5050936749152857
ANKRD46,0.635300221876797,0.0004785436564789904,-0.20323558159936644,0.07113941600004944,0.004002086637860418,0.33644009683614506
ANLN,-1.3146330979070842,0.00466429873798837,-0.7738570469017696,0.04184049090720037,0.020331273574310603,0.3248847789841273
ANO6,0.592828814522195,0.0014677527495493684,-0.23597706411434693,0.06983126688676676,0.00876312088936486,0.3352743910676966
ANO8,0.5849959948316292,0.00011271892775403566,0.24466458370710362,0.00986755608309695,0.0015547731437566459,0.2894834028081242
ANP32A,-0.9914938120764618,0.0001112264988605434,-0.26540184444980136,0.05434440708728236,0.0015434997451891795,0.3248847789841273
ANP32E,-1.1773649208605386,0.0010888464664256705,-0.6275606301538665,0.02045753708790888,0.007092237133520482,0.31231311396833367
ANTXR2,0.6221392960582596,0.0036050935869060908,-0.29372594673563324,0.07181468714104836,0.016921314573755175,0.33667396958995355
ANXA1,-0.842997883791595,0.021930550890884963,-0.6288982884239247,0.06189265124115839,0.06473689086415203,0.33017933745472094
ANXA10,-2.7074172538759265,1.5118763399428225e-06,-0.9402987376224918,0.0006349091609747079,0.00013279612685946767,0.17284511093199054
ANXA2,-0.9439584585547236,1.6828374277771176e-05,-0.04401799146160541,0.5842795047288323,0.0004964370411942497,0.7676511846483977
ANXA2P1,-0.7130000670317083,0.001432337065787626,0.03583257710522244,0.7892896962485936,0.008626833614515396,0.9125226639941072
ANXA2P2,-0.9445771654913878,1.8450100711788872e-05,0.003313452450534067,0.9672518977841511,0.0005169912505686458,0.9999999999999998
ANXA3,-1.4627777097974322,6.685957993539259e-05,-0.5985166298021096,0.007202129787564189,0.0011114784041239866,0.2633539740986646
ANXA8,-2.881870889897115,6.069014605893412e-09,-0.35940485328208777,0.001067157930501972,1.585746816311293e-05,0.18641433388817386
ANXA8L1,-1.7466056142218562,8.608634672803974e-05,-0.39342783619471167,0.08039120232311832,0.0012923918249353771,0.3411224982891255
AP1AR,0.9130522232388948,0.0027853367376999283,-0.41792158243645167,0.06721439407568597,0.013922877543736455,0.3333384021053512
AP1M2,-1.6790173526501364,3.019847783448707e-05,0.28398991435096316,0.10692100245283065,0.0006886909720608086,0.37038177626053126
AP1S1,-0.5298915050050774,0.001244774457438271,0.1445156205968531,0.1701862040849525,0.0077942228094987935,0.4369322954398907
AP3B2,1.5007049214390897,8.323222842568996e-06,0.28935383068232085,0.03571412585701011,0.00033022070670409313,0.32454990869255734
AP5S1,-0.5224587250620142,0.017014618887525913,0.23887632009686358,0.18540986033556223,0.053159784669089334,0.4525407181492787
APBB2,0.9264363764185736,0.00011559005068586426,-0.18710514639787412,0.12404235627880644,0.0015800762533964554,0.3871839338366373
APBB3,0.775633246131298,0.0001332222303687858,0.22467381196577144,0.046524365969344464,0.0017232210703289194,0.3248847789841273
APEX1,-0.6923403289131439,1.7771851228874395e-05,0.0331024492796299,0.5785382029652514,0.0005086809999626177,0.7632331024404536
APEX2,-0.5514687147021937,0.004286681443813821,0.25442425613760766,0.0853765999389562,0.019128873307250067,0.3473171736840545
APH1B,0.5879511983719835,0.00013451318325618432,0.03339395580571702,0.641956733251573,0.0017306951856343494,0.8093602158386483
APLF,0.5337388393179412,5.4538771855530254e-05,-0.01456665444953459,0.7919474521616783,0.0009843475619227696,0.9141507668057491
APLP1,0.5485337805842043,0.01555879875050776,0.44411731243420044,0.035273125628226466,0.04984768193435211,0.32454990869255734
APOBEC3B,-1.9732729672094718,3.534194143373091e-07,0.04801313669264378,0.5822403808202077,7.176911808999812e-05,0.7658523239986766
APOBEC3C,-0.7071751271875366,0.0006177265231336596,0.21647415993056834,0.09271080775524594,0.004711517142666654,0.35450640776955433
APOC1,-1.150627566329165,0.0001245432067634508,0.1476032669782263,0.3053192522896099,0.0016530444497122754,0.5402756505782668
APOE,-0.6497036038053691,0.009535747624254918,-0.09177491103819371,0.6155439601060931,0.03453443459575762,0.7894466748713586
APOL1,-0.656479458461522,0.002307563774408146,0.1509908836956032,0.28856749310808044,0.012169936976333619,0.5245899462227205
APOL3,-0.9670088555487427,9.713668674279799e-05,-0.041309321355256334,0.7100138624163516,0.0014099969451430137,0.8588725888621078
APRT,-0.8707061092384184,0.0016487314569341184,0.25355952854553837,0.16624135457531627,0.00957187329648739,0.4333855240569885
AQP3,-2.0906509480411217,3.312863586075931e-05,0.573445728859183,0.0232801953828732,0.0007335326984535769,0.3156497997651488
ARAP3,-0.8734608762501086,0.0001447025898303379,0.06500322215012456,0.5501408269722914,0.001817115955005456,0.7403484456863519
AREG,1.6669104345544272,2.0857666249868708e-05,0.40812266123302365,0.02647527662872177,0.0005520791833720676,0.31941478201802187
ARFGEF3,0.8180772600959256,8.376428330530116e-07,0.0033182002180538296,0.935953490193109,9.758272239834129e-05,0.9999999999999998
ARHGAP11A,-0.5865220138760747,0.02904183895003327,-0.4004560478578861,0.09928199273014593,0.08029859930402246,0.3617846777894934
ARHGAP17,-0.5807408421728674,0.0015097464768350903,0.05985576128675871,0.5911204817519073,0.008956621168119948,0.771595319100941
ARHGAP18,-0.8085670770753092,0.01414509954308185,-0.5817799956290319,0.04907276467846794,0.04641440090473036,0.3248847789841273
ARHGAP22,-0.5094779274791721,0.0008906753452795854,-0.1172257362497556,0.21058056437441128,0.006131144924788715,0.4797347054110005
ARHGAP23,-0.6369643712331869,0.0008500574454454363,0.41427635857155065,0.007141943555877522,0.0059432533169713414,0.2633539740986646
ARHGDIA,-0.520529994926067,0.017383570309422225,0.21260649522993252,0.23215496691967613,0.054099966132266884,0.5026401889255694
ARHGDIB,-1.5699938735143713,1.2998522314645526e-05,-0.21307908292031272,0.12911795373766422,0.0004275952754224221,0.3920405347446848
ARHGEF11,0.6221932469342402,1.6515269585429176e-05,0.2476775976950607,0.0025772583362594784,0.0004895693366572117,0.2213054223952388
ARHGEF16,-0.9169727744790857,8.673679014677547e-05,0.20483306868460427,0.08267307951553772,0.0012975977451735897,0.34443977775380064
ARHGEF2,0.9301059243837543,6.002783741534134e-05,0.16339312507307016,0.1314640234409879,0.0010493069873990326,0.39480858901466465
ARHGEF4,0.6844079348284424,0.005473377457223537,-0.028213473503082898,0.8671695136216642,0.022871389922919465,0.9674594610308794
ARID5B,-0.6524733009906494,0.00044410446402470724,-0.2636310666129835,0.03101468812124173,0.0038027484302490147,0.32157042162367505
ARIH2OS,0.7978913698711071,0.00040171451910903235,-0.08369723375890016,0.486413233220619,0.0035632194735713877,0.6889567130492621
ARL14,-1.1920401515531034,7.89740286975453e-06,-0.562770021136129,0.0005525363220763901,0.00031979505343544454,0.16330867542931446
ARL2BP,0.7733801024889125,7.198839349326272e-06,0.2415359579289423,0.004199285672363116,0.0003066811110053221,0.2557872176377372
ARL4A,-1.4592326830641318,0.0001162208235902239,-0.3055108496385238,0.11356070636124882,0.0015816062972211274,0.3765021112070744
ARL6IP5,-0.5419628151912005,0.010523276258976288,-0.1828057498362738,0.2626367166660556,0.03717086187266827,0.5026401889255694
ARL8A,0.6106477460223553,0.0028709304215490793,0.2659040355867267,0.07947979252311495,0.01423402477910888,0.3404607491037757
ARMC6,-0.8876507335536762,0.0002910690213938498,0.16853789384122445,0.20442872723835986,0.002857569726942304,0.47167925081236306
ARPC2,-0.5156818824000559,2.41515655273012e-06,0.01846871830072427,0.558988050940322,0.00017598889780650955,0.7476418450232133
ARPC4,-0.5218068741331762,0.003644160584943689,0.10198074877935882,0.40208673445056636,0.01704211124996678,0.6238688813285425
ARRDC1,0.6858535480962299,0.0025097666870031454,0.3283526315311481,0.054571296505603675,0.012926959365048587,0.3248847789841273
ARSG,0.6051138115847217,0.0007421573505626267,0.15548615451116643,0.15631585507180829,0.005382840208787333,0.4240221968287541
ARSI,-2.022213069359243,5.562582124459718e-06,0.08277830594193866,0.5621239847797556,0.00027191953789848164,0.7495881096751044
ART5,3.0031093889611835,1.9534919364350133e-07,0.42536511443776154,0.009644859266657162,5.475052022012923e-05,0.2889501070114235
ASAH1,0.6107339671994094,0.011134231071611432,-0.2651103564307619,0.16742722959791698,0.03878954024757583,0.4342992524955186
ASAP2,0.516545424843686,0.008233013924081328,-0.28660329727165257,0.07519312671551318,0.030866472062488565,0.3396367676401245
ASB9,-1.5443148599551046,9.68623277043736e-06,0.12495546988699065,0.3123657539777277,0.0003586259056099177,0.5466514550021145
ASF1B,-0.8643278354071666,0.0007576021407559808,0.29348615820709156,0.07691755528122862,0.005451039793244252,0.3403309727755005
ASNA1,-0.5041515966608408,0.03673356358446954,0.25112438965389283,0.2309342721742512,0.09608937041761267,0.5021145789428262
ASNS,2.6650348530762127,2.2072514899980526e-10,0.3296742316118014,5.3209909883164525e-05,2.018531487603219e-06,0.06488061678420529
ASPA,-0.5763750006540354,0.0038334313266025584,0.03760580028485966,0.7758982905716757,0.01763416975944688,0.9036517563337926
ASPM,-1.2450707150746572,0.026742805469809946,-0.9887208309532045,0.05975525798335279,0.07535057357058392,0.3288966802634735
ASXL1,-0.5064815166246951,0.0001102598854577126,0.15369406065766292,0.035164879872064556,0.0015379300914112827,0.32454990869255734
ATAD2,-0.8961050202255951,0.016071908393478104,-0.587319216506092,0.07268474553506174,0.05091896839021558,0.33767025720263616
ATAD3A,-0.791314622544462,0.0016369441957730625,0.25389885472722,0.132844143803484,0.009525838161211999,0.39625339768509105
ATAD3B,-0.8735485036149084,0.0006517526955585494,0.18894108374790128,0.21175503620800368,0.004881472891796014,0.4811634820200915
ATF1,-0.5342287145153083,0.01826586572196583,-0.4728138405646821,0.029379032240993745,0.05608237100130184,0.32080424868068846
ATF3,1.9767326804237124,6.764896962338605e-08,0.3985557730285307,0.0007108413789569434,3.285599088458764e-05,0.17569309217733103
ATF4,1.3208753931303614,2.3931331911317156e-06,0.10278302351247225,0.22696410866307706,0.00017578476331646216,0.4977116490179821
ATF5,0.5633069345919043,0.0025514793710346415,0.4515770836313466,0.007312886141235942,0.01308285889997858,0.2633539740986646
ATG13,0.5681749066577292,0.002210267310507631,0.2333123890062453,0.08088618107724821,0.011844649607144615,0.341318806230042
ATG16L2,0.619862626902785,0.0031623758677079045,0.01690538886934973,0.9011827519291158,0.015317758109210163,0.9884637201069583
ATG2B,0.6539874423280472,0.005905452888142038,-0.4258546146348173,0.034980668502019446,0.024209993691594957,0.32454990869255734
ATHL1,-0.5533005932693439,0.005617846744092674,-0.11983853338898955,0.39692039018634334,0.023325860828480136,0.619985777331377
ATIC,-0.5507627063300435,0.0012367630439635172,0.08090037124891687,0.4329417822533319,0.007756904554391385,0.6456712318606944
ATP11B,0.893130897889889,0.0019940490266905477,-0.3545810329100622,0.08403891219961522,0.011021702512336877,0.3460166424225483
ATP13A2,0.5262504107560421,0.004581436352011248,0.3430318104058147,0.02856215784181152,0.020070531946894784,0.32080424868068846
ATP1A1,-0.5344189780718458,0.0006264726784549325,0.11824563881574682,0.19987268494497723,0.0047564073428562545,0.467417390058002
