Gene,log2FC,pvalue,padj,plot_color
ZNF200,1.0628905483043647,1.1772015703794779e-20,4.764923775733134e-19,re
CD4,-1.774574505244946,3.579121342330238e-19,1.186700449763223e-17,b
LRRC23,0.4064994494437571,0.0037051791502225604,0.010985189851263684,grey
BTK,-0.32850740490885194,0.08635072337831176,0.16670334518912147,grey
HFE,0.4180609714481777,0.00651980584934433,0.018021384241395516,grey
SCMH1,0.8324618061004726,3.4865285429157117e-10,3.339556135296619e-09,grey
FYN,-0.697655087610741,4.812309563230024e-07,2.921482200707271e-06,grey
HIVEP2,-0.17813761144386064,0.23728897036269625,0.37082147989398995,grey
FMO1,1.0498357366796998,0.007686442868000618,0.020850067089818163,re
ELOA,-0.06266846218570234,0.538450367446119,0.6567361485656142,grey
LYPLA2,0.4301470741181292,6.768484173884468e-06,3.4258018902687924e-05,grey
CLCN6,0.3482605416566968,0.00835692937865667,0.022445608018163383,grey
MRC2,-0.5564235623620506,0.031254131735913286,0.07089970465101215,grey
SLC6A7,1.3062876777681744,5.063445753724682e-07,3.063403669603173e-06,re
TSPAN9,-0.33545251115108715,0.003698875352503199,0.010967651986509118,grey
BTBD7,0.48269187868879104,0.0001440100987709075,0.0005768270005745401,grey
APBA3,0.7540594968361388,1.497728784862736e-13,2.2764268058485704e-12,grey
MKS1,0.8497390495850806,3.0109257282998244e-14,4.995942440448122e-13,grey
ABHD5,-0.16064049447945178,0.15419177238852738,0.26523168313094386,grey
ANOS1,-0.21838919422774303,0.42516362564991095,0.5601097529764173,grey
AKAP8L,1.2195090897318774,7.625177005904338e-26,6.186143960321673e-24,re
MBTD1,0.27740673844530556,0.036577191940483256,0.08100608499056272,grey
UTP18,0.8397927823111913,1.1621079497424724e-12,1.5421486576312267e-11,grey
RNF216,0.918638161616948,1.170312369568312e-15,2.352498680942497e-14,grey
TTC19,-0.315958917794773,0.007375023102806079,0.020105768612395967,grey
PTBP1,0.7459216784033229,1.1591902546341456e-15,2.3326328484646127e-14,grey
DPF1,1.649225434915216,2.254661563003259e-15,4.3658938667688275e-14,re
SYT7,-1.3771737961379384,5.1429635561541965e-05,0.00022362346927325328,b
LARS2,0.04448798820106353,0.7183411680057853,0.7803669709957609,grey
PIK3C2A,0.2536176424847192,0.07907377071369953,0.1549344320684657,grey
PLAUR,-0.4106571958719185,0.06781555856113544,0.13637743123279839,grey
ANLN,3.965525030788274,1.1592541526175835e-40,5.594639805773662e-38,re
WIZ,0.9105007636152689,9.335143873311582e-16,1.9077412189885577e-14,grey
