,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
30,prerank,KEGG_2021_Human__Viral protein interaction with cytokine and cytokine receptor,-0.6146107146195917,-2.057944498284204,0.001,0.001,0.001,54/97,9.49%,CXCL14;CXCL12;CXCL6;CCL23;PPBP;IL20RA;CCL19;CXCR1;CXCR2;CCL21;CXCL2;IL18R1;PF4;IL10;IL6;CCL2;CCL4;CCR1;XCR1;CCR9;PF4V1;IL2RB;CXCL13;CCL16;CXCL1;CCL3;CXCL8;CX3CR1;CSF1R;CCR4;CCL4L2;ACKR4;IL18RAP;IL6ST;TNF;CCL22;IL10RA;CXCL3;TNFRSF10D;IL20RB;TNFRSF10C;CCL5;TNFRSF1B;XCL2;CXCL5;TNFRSF1A;CCR2;TNFSF10;CX3CL1;CCL24;CCL3L3;IL18;IL24;CCL14
31,prerank,Reactome_2022__Fatty Acid Metabolism R-HSA-8978868,-0.558911476845038,-2.0566651307030845,0.001,0.002340553141860128,0.013,79/173,8.74%,CYP1A2;THRSP;HAO2;CYP2C8;CYP2C19;CYP8B1;CYP1A1;HPGD;CYP4A11;CYP4A22;CYP2C9;PTGIS;PTGS2;ACADL;ACSM3;CYP4F2;ACSL1;PON1;GGT5;MUSK;ACOT12;PON3;SLC27A2;ACADS;EPHX2;ACAA2;EHHADH;ACAA1;SCD5;CYP2J2;ACOX2;ACADM;MMUT;MLYCD;ACAD11;PLA2G4A;CYP4F3;CBR4;ECHS1;CPT2;PHYH;ACSL5;ACOT2;PTGR1;DPEP3;ACOX1;PCCA;SLC25A20;FAAH2;PRKAG2;PTGS1;HACD1;TBXAS1;DPEP2;FA2H;ACBD4;NUDT7;HADH;ELOVL6;CYP2U1;PECR;ACOT1;PCTP;CYP4F22;CYP4F11;DECR1;HACD4;MCEE;ALOX5AP;GGT1;PCCB;CRAT;ACADVL;ACBD5;HADHB;CPT1A;ACOT6;HSD17B8;HSD17B12
32,prerank,KEGG_2021_Human__Cytokine-cytokine receptor interaction,-0.540292450464968,-2.0551084468580947,0.001,0.001,0.001,116/290,9.55%,GDF2;BMP10;CXCL14;BMP5;AMHR2;IL13RA2;TSLP;CXCL12;LIFR;IL1RL1;NGFR;CNTFR;CXCL6;CCL23;GHR;BMPR1B;EPO;PPBP;IL20RA;CCL19;CXCR1;CXCR2;CCL21;CXCL2;IL33;TNFRSF11B;TNFSF11;IL1RAP;CD4;IL1RN;IL1B;ACVR1C;IL18R1;INHBC;PF4;GDF6;LEPR;IL10;IL6;TNFRSF17;CCL2;CTF1;CCL4;CSF3;CCR1;XCR1;CCR9;PF4V1;IL2RB;BMP6;CXCL13;CCL16;IL27;CXCL1;CCL3;CSF3R;INHBA;IL7R;CXCL8;IL1RL2;IL5RA;CX3CR1;CSF1R;EDAR;TNFRSF13B;CCR4;CCL4L2;ACKR4;IL18RAP;NGF;INHBE;OSM;GDF7;IL6ST;EBI3;FAS;IL1R1;TNF;TNFSF13;CCL22;IL10RA;IFNLR1;CXCL3;TNFRSF10D;IL20RB;TNFRSF10C;CCL5;OSMR;IL4R;CXCR6;TNFRSF1B;XCL2;CXCL5;TNFRSF1A;IFNAR1;FASLG;BMP3;IL17RC;BMPR2;TNFSF8;IFNG;CCR2;INHBB;TNFSF10;LIF;IL13RA1;CX3CL1;IFNL1;CCL24;CCL3L3;THPO;IL18;TNFSF13B;IL24;CCL14;IL16
33,prerank,Reactome_2022__Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678,-0.8573587467567232,-2.0519867671122163,0.001,0.0022820393133136246,0.013,9/18,1.97%,CYP1A2;CYP3A4;CYP2E1;CYP2C8;CYP1A1;HPGD;CYP2C9;PTGS2;EPHX2
34,prerank,KEGG_2021_Human__Histidine metabolism,-0.7808932164230941,-2.0518146602069978,0.001,0.001,0.001,13/22,6.60%,CNDP1;UROC1;ASPA;HAL;AOC1;FTCD;AMDHD1;ALDH2;ALDH1B1;HDC;MAOB;ALDH9A1;MAOA
35,prerank,KEGG_2021_Human__Primary bile acid biosynthesis,-0.843164125148897,-2.047369097406696,0.001,0.001,0.001,11/17,4.85%,CYP39A1;CYP8B1;AKR1D1;SLC27A5;SCP2;ACOX2;CH25H;AKR1C4;CYP7B1;CYP27A1;BAAT
36,prerank,Reactome_2022__Aflatoxin Activation And Detoxification R-HSA-5423646,-0.8234368951788111,-2.0449552892761247,0.001,0.0021299033590927163,0.013,12/19,6.47%,CYP1A2;CYP3A4;GGT6;AKR7A3;GGT5;CYP2A13;ACY3;MGST1;DPEP3;AKR7L;DPEP2;CYP3A5
37,prerank,Reactome_2022__Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.7734898605844159,2.0446566245173177,0.001,0.001,0.001,71/106,15.94%,SKA1;CDC20;NUF2;BIRC5;CENPF;CENPA;CCNB2;KIF2C;CDK1;BUB1;BUB1B;SPC24;CENPM;CDCA5;PLK1;NDC80;AURKB;SPC25;KIF18A;CCNB1;CDCA8;CENPE;CENPI;SGO1;ERCC6L;CENPK;ZWINT;SGO2;CENPL;CENPU;MAD2L1;CENPH;KNTC1;SPDL1;DYNC1I1;CENPO;DSN1;INCENP;CENPQ;CENPP;ITGB3BP;ZWILCH;NUP37;KNL1;CENPT;KIF2A;DYNLL1;NUP107;RCC2;NDE1;RAD21;NUP133;NUP43;DYNC1H1;RPS27;PPP1CC;NUP85;XPO1;BUB3;AHCTF1;PPP2R1A;CENPN;CKAP5;SKA2;PPP2R5A;RANGAP1;PPP2R5B;SEC13;HDAC8;MAPRE1;KANSL1
38,prerank,Reactome_2022__Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,0.7840946647801483,2.0437254661591404,0.001,0.001,0.001,63/93,14.75%,SKA1;CDC20;NUF2;BIRC5;CENPF;CENPA;KIF2C;BUB1;BUB1B;SPC24;CENPM;PLK1;NDC80;AURKB;SPC25;KIF18A;CDCA8;CENPE;CENPI;SGO1;ERCC6L;CENPK;ZWINT;SGO2;CENPL;CENPU;MAD2L1;CENPH;KNTC1;SPDL1;DYNC1I1;CENPO;DSN1;INCENP;CENPQ;CENPP;ITGB3BP;ZWILCH;NUP37;KNL1;CENPT;KIF2A;DYNLL1;NUP107;RCC2;NDE1;NUP133;NUP43;DYNC1H1;RPS27;PPP1CC;NUP85;XPO1;BUB3;AHCTF1;PPP2R1A;CENPN;CKAP5;SKA2;PPP2R5A;RANGAP1;PPP2R5B;SEC13
39,prerank,Reactome_2022__Biosynthesis Of DHA-derived SPMs R-HSA-9018677,-0.8842545981334264,-2.040803818706274,0.001,0.002186954341925557,0.014,9/16,1.97%,CYP1A2;CYP3A4;CYP2E1;CYP2C8;CYP1A1;HPGD;CYP2C9;PTGS2;EPHX2
